id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
23,20000,3,14.08,684.33,C,C3,386,4 years,1,47500,1,2018/1/1,1,9,226,21,24.36,0,665,669,7,0,0,19497,53.1,19,0,0,Mar-00,10,1,0,4,4,4,4,7,9,6,10,4,7,0,0,0,1
24,18000,5,7.39,359.75,A,A4,8893,10+ years,0,75000,1,2016/5/1,0,0,186,9,16.97,2,680,684,12,0,0,7648,25.9,35,1,0,Nov-99,0,1,6,6,8,8,7,12,3,10,31,8,11,0,0,0,1
25,15000,3,6.07,456.81,A,A2,148,1 year,0,80000,0,2018/4/1,0,2,48,10,20.12,0,715,719,8,0,0,51551,61,24,0,1,Dec-95,5,1,1,3,6,6,3,5,3,6,17,6,8,0,0,0,1
26,15000,3,14.09,513.33,B,B5,219198,5 years,0,40000,1,2013/6/1,0,4,66,14,20.1,0,695,699,6,0,0,13950,90.6,11,1,0,May-96,95,1,0,3,4,4,3,5,4,4,7,4,6,0,0,0,1
27,5000,3,12.69,167.73,C,C2,4234,7 years,1,60000,1,2015/10/1,0,7,74,30,16.74,0,695,699,10,0,0,11030,58.4,14,0,0,Mar-08,8,1,0,6,8,8,6,7,5,8,9,8,10,0,0,0,1
28,8425,3,8.59,266.31,A,A5,2780,10+ years,0,40000,0,2016/8/1,0,0,245,26,12.57,2,665,669,17,1,1,7993,33.9,23,0,0,Apr-00,0,1,0,5,9,9,8,8,5,17,18,9,17,0,0,0,1
29,6350,3,15.8,222.63,C,C3,334998,< 1 year,0,63500,1,2012/9/1,0,8,74,30,0.94,0,675,679,8,1,0,1125,9.3,19,1,0,Dec-00,1696,1,3,1,2,2,2,7,4,7,14,2,8,0,0,0,4
30,10000,3,14.59,344.65,D,D1,241561,4 years,1,40000,0,2010/4/1,0,0,56,8,24.15,0,675,679,8,0,0,22778,87.6,30,1,0,Dec-95,15383,1,,,,,,,,,,,,,,,
31,25000,3,12.74,839.23,C,C1,10407,7 years,0,105000,0,2017/1/1,1,0,290,8,26.77,0,670,674,29,0,0,41182,56.7,52,0,0,Feb-97,0,1,4,14,21,21,15,19,12,26,37,21,29,0,0,0,6
32,10000,3,15.59,349.55,D,D1,132,5 years,2,30000,1,2015/1/1,0,0,413,37,20.2,0,685,689,7,0,0,6772,41.3,17,1,0,Jul-07,0,1,0,2,3,3,3,4,9,6,8,3,7,0,0,0,4
33,8000,3,12.79,268.75,C,C1,49,10+ years,0,50230,2,2016/6/1,0,4,47,17,17.35,0,665,669,21,0,0,28884,78.7,52,1,0,Sep-05,4,1,0,6,12,12,6,7,21,18,29,12,21,0,0,0,4
34,8000,3,7.21,247.79,A,A3,64986,2 years,1,48000,0,2017/8/1,0,0,540,13,23.79,0,730,734,17,0,0,16276,29.3,30,0,0,May-94,0,1,0,5,7,7,7,12,3,15,27,7,17,0,0,0,2
35,18000,3,7.49,559.83,A,A4,3023,8 years,0,68000,0,2016/11/1,0,0,135,33,23.88,0,760,764,10,0,0,2349,8,32,0,0,Dec-03,0,1,0,2,3,3,4,10,11,6,14,3,10,0,0,0,3
36,35000,5,22.7,980.65,E,E5,240649,3 years,1,130000,2,2013/7/1,1,0,74,30,9.31,0,680,684,10,0,0,21322,54.7,27,1,0,Jun-87,4208,1,0,6,7,7,6,16,6,9,21,7,10,0,0,0,3
37,10675,5,13.98,248.28,C,C3,32,3 years,1,57350,1,2014/8/1,0,0,115,8,16.57,0,750,754,6,0,0,5578,23,12,0,0,Aug-86,0,1,0,2,5,5,2,5,4,5,8,5,6,0,0,0,0
38,15000,5,19.24,391.1,E,E2,104837,8 years,0,52000,1,2015/1/1,1,0,73,23,5.47,0,660,664,4,0,0,7017,92.3,15,0,0,Oct-00,0,1,1,2,3,3,2,4,3,3,7,3,4,0,0,0,1
39,10000,3,7.89,312.86,A,A5,95,8 years,1,75000,0,2015/4/1,0,0,368,3,13.3,0,685,689,12,0,0,10083,48.7,21,0,0,Mar-05,0,1,0,4,4,4,5,8,9,8,12,4,12,0,0,0,2
40,18000,3,8.49,568.14,B,B1,62,10+ years,1,250000,0,2016/1/1,0,4,17,13,7.37,0,750,754,6,0,0,25874,76.1,11,0,0,Apr-97,4,1,0,2,2,2,2,5,4,3,7,2,6,0,0,0,0
41,20000,3,16.55,708.59,D,D2,4462,2 years,0,63800,2,2015/12/1,0,0,231,43,33.69,5,675,679,13,0,0,15238,93,24,1,0,Jan-93,0,1,2,3,8,8,3,6,9,8,13,8,13,0,0,2,4
42,13000,5,13.35,298.13,C,C2,81832,10+ years,1,52000,1,2014/10/1,1,4,524,20,18.44,0,705,709,7,0,0,17703,38.8,13,1,0,Jul-04,4,1,0,3,5,5,4,5,5,6,8,5,7,0,0,0,1
43,4000,3,23.99,156.92,E,E2,12694,10+ years,1,91000,1,2017/3/1,0,0,616,0,13.64,1,665,669,10,1,0,14847,58.9,25,1,0,Nov-99,0,1,0,3,4,4,5,14,6,8,19,4,10,0,0,0,3
44,15000,5,24.84,438.87,E,E3,130,4 years,1,50000,1,2018/5/1,1,2,456,21,7.39,0,730,734,4,0,0,1147,11.7,7,0,0,Aug-14,5,1,0,1,1,1,1,1,5,2,2,1,4,0,0,0,5
45,6500,3,9.49,208.19,B,B2,4544,4 years,1,26500,1,2016/8/1,1,0,414,0,15.63,0,675,679,8,0,0,2327,58.2,16,1,0,Dec-06,0,1,3,1,1,1,2,2,14,2,2,1,8,0,0,0,0
46,14650,5,21.99,404.54,F,F1,43312,10+ years,0,75000,2,2015/9/1,0,0,195,38,36.99,1,685,689,21,0,0,21005,44.5,31,1,0,Mar-92,0,1,0,7,10,10,7,8,7,16,21,10,21,0,0,0,3
47,8000,3,6.89,246.62,A,A3,38775,9 years,1,50000,1,2015/10/1,0,0,398,2,13.12,0,730,734,9,0,0,16405,41.3,11,0,0,Jun-98,0,1,0,4,5,5,6,6,2,8,8,5,9,0,0,0,0
48,9500,3,15.61,332.17,D,D1,176447,9 years,0,70000,1,2014/11/1,0,0,480,8,7.44,2,665,669,7,0,0,2205,73.5,22,1,0,Jun-04,0,1,2,2,3,3,3,4,10,4,6,3,7,0,0,1,3
49,16000,3,9.16,509.99,B,B2,5490,10+ years,0,75000,0,2016/4/1,0,4,368,3,21.71,0,735,739,14,0,0,21842,63.9,26,0,0,Feb-88,2,1,0,3,5,5,4,6,13,7,10,5,14,0,0,0,0
50,6000,3,10.99,196.41,B,B4,59222,2 years,1,65000,1,2015/8/1,0,0,129,30,12.76,0,660,664,18,1,1,2069,10.9,45,0,0,Aug-07,0,1,0,6,6,6,8,21,4,15,39,6,15,0,0,0,4
51,15000,3,11.44,494.22,B,B4,109,1 year,2,94000,1,2014/12/1,0,0,588,4,16.32,0,685,689,13,4,1,7032,66.3,35,1,0,Oct-02,0,1,0,3,3,3,3,10,19,5,14,3,13,0,0,0,5
52,5000,3,9.75,160.75,B,B3,808,2 years,1,20000,1,2016/3/1,0,0,148,11,22.57,0,680,684,19,0,0,3723,20.1,23,1,0,Mar-10,0,1,0,3,4,4,5,6,9,11,14,4,19,0,0,0,2
53,20000,3,7.89,625.72,A,A5,2247,10+ years,1,200000,1,2015/5/1,0,0,25,13,19.57,0,710,714,13,0,0,22515,60.5,30,1,0,Mar-74,0,1,0,3,5,5,4,7,11,6,18,6,13,0,0,0,2
54,25000,3,11.49,824.29,B,B5,252458,2 years,1,86500,2,2017/2/1,0,0,34,18,22.78,0,795,799,12,0,0,7132,21.2,18,1,0,Oct-01,0,1,0,2,4,4,4,5,11,6,7,4,12,0,0,0,2
55,35000,5,18.45,897.37,D,D2,26857,10+ years,1,130020,1,2018/4/1,1,0,54,28,17.92,0,765,769,54,0,0,4416,6.8,78,0,0,Apr-02,0,1,0,2,4,4,8,12,55,16,23,4,54,0,0,0,6
56,9600,3,14.65,331.15,C,C5,57125,2 years,0,42000,0,2015/7/1,1,2,727,43,7.09,0,720,724,9,1,1,657,11.9,20,0,0,May-98,5,1,0,1,1,1,1,1,10,4,8,1,9,0,0,0,2
57,14400,3,7.89,450.52,A,A5,26930,8 years,0,55000,0,2015/7/1,0,4,504,11,25.6,0,705,709,10,0,0,17080,40,37,0,0,Dec-04,4,1,0,6,7,7,7,15,14,8,23,7,10,0,0,0,3
58,6075,3,14.09,207.9,B,B5,291169,2 years,1,30000,0,2013/6/1,0,4,689,2,14.07,0,660,664,10,0,0,3625,26.3,13,1,0,Dec-04,4,1,0,4,8,8,5,5,3,9,10,8,10,0,0,0,2
59,3000,3,14.46,103.21,C,C4,385,< 1 year,1,25200,2,2016/3/1,0,0,17,13,3.64,0,660,664,3,0,0,0,0,7,0,0,Aug-02,0,1,1,0,0,0,1,1,3,1,2,0,3,0,0,0,0
60,35000,3,10.64,1139.9,B,B2,283442,10+ years,0,85000,2,2013/7/1,0,0,249,36,22.47,0,775,779,13,0,0,120918,30.5,39,1,0,Mar-88,28,1,0,3,7,7,5,20,5,11,32,7,13,0,0,0,3
61,25000,3,6.89,770.68,A,A3,184,10+ years,0,409000,2,2015/8/1,0,2,48,10,17.51,0,730,734,21,1,0,32686,47.6,32,0,0,Aug-03,5,1,0,3,3,3,12,17,10,13,19,3,21,0,0,0,4
62,16000,5,15.59,365.53,C,C5,64670,8 years,0,85000,1,2016/7/1,0,0,268,8,11.21,0,675,679,10,0,0,29526,75.7,14,0,0,Aug-07,0,1,0,6,8,8,6,6,3,9,10,8,10,0,0,0,2
63,3000,3,7.9,93.88,A,A4,222245,< 1 year,0,96000,1,2011/11/1,0,8,0,0,0.19,1,735,739,4,0,0,25,0.1,14,1,0,Jul-96,3581,1,,,,,,,,,,,,,,,
64,6000,3,12.12,199.63,B,B3,228001,6 years,0,70000,0,2013/5/1,0,5,134,8,9.79,1,715,719,19,0,0,16966,35.8,52,1,0,Aug-96,2111,1,0,7,9,9,11,15,23,16,25,9,19,0,0,0,0
65,10000,3,15.31,348.18,C,C2,303649,5 years,0,32000,0,2013/4/1,0,0,625,13,17.74,0,695,699,13,0,0,9668,85.6,38,1,0,Jul-94,51,1,0,3,4,4,4,13,18,5,20,4,13,0,0,0,0
66,15000,5,18.99,389.03,E,E1,13,3 years,0,57000,1,2016/2/1,1,5,431,20,35.45,0,695,699,17,0,0,11088,49.9,39,1,0,Oct-00,6,1,0,7,7,7,8,10,26,9,12,7,17,0,0,0,3
67,16000,5,14.16,373.63,C,C2,1027,10+ years,0,120000,2,2014/4/1,0,0,495,14,34.77,1,725,729,12,0,0,1859,18.6,39,0,0,Apr-95,0,1,0,2,5,5,4,17,8,8,27,5,12,0,0,0,1
68,24000,5,9.99,509.82,B,B3,49315,8 years,1,60000,0,2015/8/1,1,0,316,26,12.04,0,695,699,9,0,0,16196,47.4,16,0,0,Jan-04,0,1,0,5,5,5,6,9,5,8,11,5,9,0,0,0,2
69,1600,3,14.65,55.2,C,C5,4749,4 years,0,40000,1,2015/4/1,1,5,137,32,16.53,0,670,674,9,0,0,8923,61.5,12,1,0,Apr-10,6,1,0,2,4,4,2,2,3,6,7,4,9,0,0,0,4
70,15000,5,15.99,364.7,C,C5,2039,2 years,0,76000,1,2016/12/1,0,0,248,11,16.56,0,660,664,11,0,0,12128,47.9,18,0,0,Oct-99,0,1,0,3,5,5,4,7,6,8,11,5,11,0,0,0,3
71,15000,5,15.61,361.67,C,C4,4088,7 years,0,55000,1,2014/1/1,0,0,33,22,22,0,700,704,16,0,0,25383,63,27,1,0,Jul-99,0,1,0,6,11,11,6,9,7,12,17,11,16,0,0,0,2
72,10000,5,21.67,274.32,E,E5,29,8 years,2,67000,2,2015/3/1,1,0,51,13,16.38,0,665,669,12,0,0,24737,85.5,23,0,0,Jul-93,0,1,0,8,8,8,10,13,1,11,22,8,12,0,0,0,5
73,16000,3,11.49,527.55,B,B5,2861,10+ years,0,340000,1,2016/10/1,0,0,60,30,24.61,0,710,714,31,0,0,59690,40.7,62,0,0,Oct-92,0,1,0,5,8,8,9,15,26,18,29,8,31,0,0,0,5
74,25000,3,7.97,783.07,A,A5,54,,0,100000,2,2017/10/1,1,2,137,32,1.5,1,715,719,4,1,1,49172,82,19,0,0,Oct-84,5,1,0,1,3,3,6,6,2,3,14,2,4,,0,1,0
75,12000,3,14.33,412.06,C,C1,309962,1 year,1,125000,0,2013/3/1,1,0,221,8,17.51,0,700,704,7,0,0,31839,78.4,11,0,0,Jan-88,3721,1,0,3,4,4,3,5,2,6,8,4,7,0,0,0,2
76,18000,5,21.99,497.04,F,F1,46704,4 years,1,60000,2,2015/9/1,0,5,242,8,10.42,1,685,689,7,0,0,9398,63.9,23,0,0,Oct-04,6,1,0,4,5,5,5,14,4,6,19,5,7,0,0,0,2
77,6500,3,9.17,207.22,B,B2,39930,2 years,2,22000,1,2015/5/1,0,0,828,39,37.42,0,685,689,9,1,1,1797,11.7,27,0,0,Dec-82,0,1,0,2,4,4,5,12,7,7,19,4,9,0,0,0,2
78,16000,3,6.99,493.97,A,A3,103122,9 years,1,101000,0,2015/1/1,0,4,134,8,11.98,0,705,709,8,0,0,17250,58.1,27,0,0,Dec-99,4,1,2,2,4,4,2,6,10,5,12,4,8,0,0,0,3
79,30000,3,10.9,980.75,B,B4,97,10+ years,1,100000,1,2018/3/1,0,0,177,26,6.24,1,670,674,15,0,0,1039,7.8,22,0,0,Oct-01,0,1,1,3,4,4,6,6,4,13,18,4,15,0,0,0,3
80,15000,3,14.09,513.33,B,B5,292178,10+ years,0,65000,0,2013/6/1,0,4,201,2,19.42,0,705,709,13,0,0,15105,55.1,38,0,0,May-01,742,1,0,5,7,7,5,17,10,9,25,7,13,0,0,0,2
81,14000,5,17.57,352.25,D,D2,793,10+ years,0,60000,1,2014/3/1,0,0,153,11,16.98,0,670,674,6,1,1,11115,60.4,9,1,0,Jan-02,0,1,0,1,3,3,1,2,2,3,5,3,6,0,0,0,2
82,1000,3,11.44,32.95,B,B4,116780,10+ years,1,55000,1,2016/12/1,0,0,779,43,21.19,0,700,704,5,0,0,634,12.9,28,0,0,Aug-03,0,1,3,2,2,2,2,5,23,2,5,2,5,0,0,0,4
83,5000,3,15.31,174.09,C,C5,148910,9 years,1,39000,1,2016/3/1,0,0,276,20,21.32,3,675,679,9,0,0,5834,75.8,15,0,0,Jun-05,0,1,2,3,4,4,3,5,3,6,12,4,9,0,0,1,2
84,40000,3,20,1486.55,D,D4,94037,3 years,1,112000,2,2017/7/1,0,0,537,19,14.88,0,740,744,6,0,0,3413,45.5,17,1,0,Nov-05,0,1,0,1,2,2,2,4,12,3,5,2,6,0,0,0,2
85,9000,3,11.44,296.53,B,B4,248,10+ years,0,55000,0,2014/11/1,0,0,157,8,6.5,0,695,699,13,0,0,8152,49.1,28,1,0,Feb-03,0,1,0,5,7,7,6,12,7,12,21,7,13,0,0,0,1
86,35000,5,16.29,856.54,C,C4,306565,5 years,0,120000,2,2013/4/1,0,0,648,13,16.86,0,720,724,14,0,0,26853,53.5,37,1,0,Aug-70,38,1,0,3,4,4,6,18,7,10,25,4,14,0,0,0,2
87,15000,3,5.32,451.73,A,A1,1562,2 years,0,66000,1,2016/3/1,0,4,627,43,18.04,0,690,694,26,0,0,4142,26.1,70,1,0,Apr-03,4,1,0,2,3,3,3,9,49,7,19,3,26,0,0,0,2
88,7000,3,11.99,232.47,B,B5,363730,10+ years,1,55000,2,2017/12/1,0,2,141,13,3.37,0,690,694,9,0,0,3879,49.1,12,1,0,Oct-06,5,1,0,4,5,5,5,7,0,9,12,6,9,0,0,0,7
89,20000,3,16.24,705.52,C,C5,2364,2 years,0,70000,2,2014/2/1,0,4,255,9,16.9,0,680,684,10,0,0,23779,91.8,15,1,0,Jun-04,4,1,0,6,7,7,6,9,2,8,11,7,10,0,0,0,0
90,5375,3,17.77,193.7,D,D1,223698,10+ years,1,23000,0,2013/2/1,0,0,143,8,7.67,0,680,684,6,0,0,3750,48.7,7,0,0,Oct-07,103,1,0,2,3,3,3,3,2,4,5,3,6,0,0,0,3
91,15000,5,18.25,382.95,D,D5,220161,10+ years,0,50004,1,2011/12/1,1,0,495,14,21.41,1,685,689,10,0,0,14020,47.7,29,1,0,Oct-89,269,1,,,,,,,,,,,,,,,
92,20000,3,13.99,683.46,C,C1,182720,10+ years,0,82000,0,2012/3/1,1,0,408,14,15.36,0,700,704,8,0,0,15988,71.1,32,1,0,Mar-99,38,1,,,,,,,,,,,,,,,
93,15000,3,11.22,492.65,B,B5,5625,1 year,0,40000,2,2015/12/1,1,0,463,48,28.31,0,680,684,13,0,0,21166,57.4,22,0,0,Apr-03,0,1,0,4,6,6,6,9,5,11,15,7,13,0,0,0,4
94,28000,5,13.65,646.45,C,C1,203206,< 1 year,0,74300,1,2014/4/1,0,4,243,13,23.5,0,725,729,20,0,0,40687,66.5,53,0,0,Jul-93,4,1,0,4,4,4,5,13,25,7,24,4,20,0,0,0,0
95,12125,3,15.61,423.95,D,D1,21644,8 years,0,31000,1,2014/8/1,0,0,775,16,16.38,0,665,669,12,0,0,10149,51.8,45,1,0,Apr-03,0,1,0,3,8,8,3,6,24,10,18,8,12,0,0,0,4
96,25000,3,6.49,766.12,A,A2,4290,10+ years,0,150000,1,2015/1/1,0,4,264,30,13.19,0,775,779,13,0,0,17747,44.4,20,1,0,Aug-98,4,1,0,3,5,5,4,6,7,9,11,5,13,0,0,0,2
97,10000,3,12.99,336.9,B,B4,264555,< 1 year,1,47000,0,2013/9/1,0,4,63,14,7.99,0,680,684,10,0,0,8050,36.1,13,1,0,Nov-07,4,1,0,5,9,9,5,5,1,10,11,9,10,0,0,0,2
98,10000,3,13.99,341.73,C,C3,199,4 years,1,35000,1,2016/12/1,0,0,138,0,23.08,0,680,684,8,0,0,5758,44.6,13,1,0,Dec-10,0,1,0,3,4,4,5,6,4,6,9,4,8,0,0,0,5
99,4200,3,6.19,128.14,A,A2,188251,2 years,1,118000,0,2018/5/1,0,8,387,19,6.97,0,770,774,7,0,0,5602,10,14,0,0,Jun-07,9,1,0,3,3,3,5,7,6,5,8,3,7,0,0,0,2
100,17425,3,13.11,588.05,B,B4,311660,7 years,0,40000,2,2013/3/1,0,4,241,7,11.49,0,700,704,7,0,0,12442,55.3,12,1,0,Dec-83,454,1,0,4,5,5,4,6,0,7,12,5,7,0,0,0,1
101,10000,5,23.88,286.99,E,E2,62,< 1 year,0,65000,0,2017/11/1,0,0,432,10,19.34,0,685,689,12,0,0,28585,67.9,25,0,1,Dec-95,0,1,0,5,6,6,5,6,11,6,9,6,12,0,0,0,0
102,40000,5,12.62,902.37,C,C1,364959,6 years,1,180000,1,2017/12/1,0,5,166,8,3.73,0,755,759,8,0,0,28465,22.4,12,1,0,Aug-10,6,1,0,4,4,4,7,8,3,7,9,4,8,0,0,0,4
103,15000,3,7.59,467.22,A,A3,54,,0,96000,2,2016/7/1,0,0,480,8,12.83,0,695,699,16,0,0,13399,18.9,31,0,0,Jun-00,0,1,3,9,11,11,10,18,1,14,26,11,16,0,0,0,3
104,4750,3,15.59,166.04,D,D1,2477,10+ years,0,38000,0,2015/1/1,0,0,126,38,37.15,0,735,739,14,0,0,18780,37.7,27,1,0,Jan-91,0,1,0,3,6,6,5,12,5,11,21,6,14,0,0,0,2
105,7075,3,13.65,240.61,C,C1,236,3 years,0,57000,2,2014/5/1,0,4,652,0,13.89,0,675,679,6,0,0,3791,74,7,1,0,Dec-00,4,1,0,3,5,5,3,3,1,5,6,5,6,,0,0,3
106,18000,5,14.99,428.13,C,C5,199560,8 years,1,115000,1,2014/5/1,0,0,335,8,20.83,0,685,689,18,0,0,25068,68.3,44,0,0,Nov-99,0,1,0,4,8,8,7,16,16,14,28,8,18,0,0,0,3
107,6000,3,10.75,195.73,B,B4,18974,8 years,0,87000,1,2016/5/1,0,4,120,21,17.17,0,665,669,9,0,0,4397,29.7,19,1,0,Jul-84,4,1,1,3,5,5,3,5,6,7,11,5,9,0,0,0,2
108,5600,3,13.66,190.48,C,C3,2795,5 years,0,61131,1,2014/11/1,0,2,40,11,1.59,0,665,669,14,0,0,3312,45.4,24,0,0,Aug-09,5,1,0,2,2,2,3,4,17,4,5,2,14,0,0,0,2
109,23900,3,17.57,858.9,D,D4,54,,1,53228,2,2015/4/1,1,0,307,14,25.91,1,670,674,15,2,0,13874,64,70,0,0,Sep-81,0,1,0,8,10,10,10,10,56,10,14,9,13,,0,1,4
110,16375,3,19.53,604.64,D,D5,184,7 years,1,70000,1,2016/2/1,0,0,129,30,22.22,1,685,689,7,0,0,17287,60.4,21,0,0,May-98,0,1,0,2,2,2,3,9,5,5,15,2,7,0,0,0,1
111,10000,3,13.44,339.07,C,C3,54,,2,57000,1,2016/1/1,1,4,0,0,3.79,0,680,684,3,0,0,6027,94.2,13,0,0,Sep-02,4,1,1,2,2,2,2,4,3,3,7,2,3,0,0,0,1
112,20000,5,15.05,476.33,C,C4,1,10+ years,0,102000,1,2018/2/1,0,0,467,5,23.62,0,730,734,25,0,0,23502,32.2,57,0,0,Oct-86,0,1,0,3,7,7,5,22,20,12,36,7,24,0,0,0,2
113,5575,3,29.49,235.12,F,F2,42305,3 years,1,15500,2,2017/5/1,1,5,641,13,28.2,0,695,699,8,0,0,2450,33.6,8,0,0,Dec-01,6,1,0,3,3,3,3,3,5,3,3,3,8,0,0,0,3
114,12000,5,26.3,361.42,E,E5,102317,1 year,2,52000,1,2017/7/1,1,0,740,20,17.91,0,680,684,9,0,0,7444,44.6,26,0,0,Aug-10,0,1,1,1,5,5,3,3,14,8,12,5,9,0,0,0,3
